Run;WhoWon
0;AttackerWon
1;AttackerWon
2;AttackerWon
3;AttackerWon
4;AttackerWon
5;AttackerWon
6;AttackerWon
7;AttackerWon
8;AttackerWon
9;AttackerWon
10;AttackerWon
11;AttackerWon
12;AttackerWon
13;AttackerWon
14;AttackerWon
15;AttackerWon
16;AttackerWon
17;AttackerWon
18;AttackerWon
19;AttackerWon
20;AttackerWon
21;AttackerWon
22;AttackerWon
23;AttackerWon
24;AttackerWon
25;AttackerWon
26;AttackerWon
27;AttackerWon
28;AttackerWon
29;AttackerWon
30;AttackerWon
31;AttackerWon
32;AttackerWon
33;AttackerWon
34;AttackerWon
35;AttackerWon
36;AttackerWon
37;AttackerWon
38;AttackerWon
39;AttackerWon
40;AttackerWon
41;AttackerWon
42;AttackerWon
43;AttackerWon
44;AttackerWon
45;AttackerWon
46;AttackerWon
47;AttackerWon
48;AttackerWon
49;AttackerWon
